30f0edd2-4b9c-8015-9066-d000386c621f	is-the-universe-a-computer	Is the Universe a Computer?	February 22, 2026
2e30edd2-4b9c-805b-9404-e8533faecd17	introduction-to-erc-8004-the-trust-layer-for-ai-agents	Introduction to ERC-8004: The Trust Layer for AI Agents	January 9, 2026
2910edd2-4b9c-80e1-a721-f1a52899bf13	ethereum-the-infinite-world-computer	Ethereum: The Infinite World Computer	October 19, 2025
2870edd2-4b9c-8027-9e4d-d9a38283a223	blockchain-the-most-misunderstood-technology	Blockchain: The Most Misunderstood Technology	October 9, 2025
26e0edd2-4b9c-809a-b6c8-c1c2e00a147b	rule-based-matching-for-information-extraction-with-spacy	Rule-based Matching for Information Extraction with SpaCy	September 14, 2025
26e0edd2-4b9c-808d-b855-fdd27ebf5514	pos-tagging-dependency-parser-and-named-entity-recognition-with-spacy	POS Tagging, Dependency Parser and Named Entity Recognition with SpaCy	September 5, 2025
26e0edd2-4b9c-80b8-b93a-f882ca40e6b8	learn-about-tokenization-lemmatization-and-the-core-operations-with-sp	Learn about Tokenization, Lemmatization and the Core Operations with SpaCy	August 27, 2025
2350edd2-4b9c-8076-876c-c78d44a3ddc9	kpop-optimiser-explained-an-algorithm-for-apple-silicon-from-exo	KPOP Optimiser Explained — An Algorithm for Apple Silicon from Exo	July 19, 2025
2310edd2-4b9c-8075-9ed8-c72fdfae948c	introduction-to-multimodality-with-llava	Introduction to Multimodality with LLaVA	July 15, 2025
2300edd2-4b9c-80a3-8c57-f243597e002f	zk-proofs-zkboo-and-zkboo	ZK Proofs — ZKBoo and ZKBoo+	July 14, 2025
1c20edd2-4b9c-80a7-9bc7-d2dee11df2fb	manage-environment-variables-with-pydantic	Manage Environment Variables with Pydantic	March 26, 2025
1c20edd2-4b9c-80b8-83a9-f02b61cfc34e	data-engineering-orm-and-odm-with-python	Data Engineering — ORM and ODM with Python	March 17, 2025
1c20edd2-4b9c-8013-a997-ca8170fa0ef5	design-patterns-with-python-for-ml-engineers-template-method	Design Patterns with Python for ML Engineers: Template Method	March 8, 2025
1c20edd2-4b9c-80ea-9a1f-dce7521b593b	level-up-your-coding-skills-with-python-threading	Level Up Your Coding Skills with Python Threading	February 27, 2025
1c20edd2-4b9c-80ed-90da-ef79ae96c9b0	leverage-python-inheritance-in-ml-projects	Leverage Python Inheritance in ML Projects	February 18, 2025
1c20edd2-4b9c-80a7-b998-c837fe3faafb	a-gentle-introduction-to-the-dcin-for-decentralized-inference	A Gentle Introduction to the DCIN for Decentralized Inference	February 9, 2025
1c20edd2-4b9c-8080-9552-eca65a7b4d2a	understanding-einsteins-notation-and-einsum-multiplication	Understanding Einstein's Notation and einsum Multiplication	January 31, 2025
1c20edd2-4b9c-807e-a794-ca2213927dc9	llmops-serve-a-llama-3-model-with-bentoml	LLMOps — Serve a Llama-3 Model with BentoML	January 22, 2025
1c20edd2-4b9c-80d2-be80-e5db5f5c0b9a	introduction-to-etl-pipelines-for-data-scientists	Introduction to ETL Pipelines for Data Scientists	January 13, 2025
1c20edd2-4b9c-8036-9723-fcb9bf9c7f84	mlops-data-validation-with-pytest	MLOps — Data Validation with PyTest	January 4, 2025
1c20edd2-4b9c-8039-aced-d557a84dbb40	mlops-a-gentle-introduction-to-mlflow-pipelines	MLOps — A Gentle Introduction to MLflow Pipelines	December 26, 2024
1c20edd2-4b9c-804c-af5b-e7d7931ab005	a-practical-approach-to-algorithm-efficiency	A Practical Approach to Algorithm Efficiency	December 17, 2024
1c20edd2-4b9c-802e-893d-c9fd339097bf	onnx-unleashed-training-and-optimizing-bert-models-for-streamlit-web-a	ONNX Unleashed: Training and Optimizing BERT Models for Streamlit Web Apps	December 8, 2024
1b80edd2-4b9c-8090-8e47-ef7feef706ec	design-patterns-with-python-for-ml-engineers-abstract-factory	Design Patterns with Python for ML Engineers: Abstract Factory	November 29, 2024
1b80edd2-4b9c-80d3-97cc-d6591d285c07	convolutions-in-one-dimension-using-python	Convolutions in One Dimension using Python	November 20, 2024
1b80edd2-4b9c-8057-94fe-e074846a7070	stop-using-print-and-start-debugging	Stop Using Print, and Start Debugging	November 11, 2024
1b80edd2-4b9c-80e4-b189-e1df68c8c136	train-yolo-for-object-detection-on-a-custom-dataset-using-python	Train YOLO for Object Detection on a Custom Dataset using Python	November 2, 2024
1b80edd2-4b9c-8067-8605-fb42e497536b	from-planetary-orbits-to-relativity-a-tale-of-data-and-discovery	From Planetary Orbits to Relativity: A Tale of Data and Discovery	October 24, 2024
